#t x y z vx vy vz
0.00 -377.16 611.07 -284.52 71.57 -73.39 52.68
0.07 -371.61 605.82 -281.24 74.25 -78.45 56.26
0.14 -366.22 600.30 -277.54 72.92 -77.75 54.38
0.21 -361.01 594.83 -273.72 70.72 -78.47 55.50
0.29 -355.89 589.53 -270.44 71.28 -81.57 52.52
0.36 -351.20 584.09 -267.00 71.94 -82.94 48.74
0.43 -346.20 578.27 -263.58 68.54 -81.54 45.34
0.50 -341.64 572.58 -260.49 68.45 -82.32 41.96
0.57 -336.93 566.69 -257.27 67.83 -82.05 41.71
0.64 -332.14 560.69 -254.10 66.77 -84.79 43.34
0.71 -327.95 554.72 -250.77 59.63 -82.87 42.45
0.79 -324.08 548.82 -247.50 53.92 -80.65 42.50
0.86 -320.50 543.19 -244.49 47.55 -75.99 40.59
0.93 -317.35 537.83 -241.35 45.16 -70.56 37.33
1.00 -314.13 532.74 -238.26 45.67 -68.55 41.81
1.07 -311.12 527.91 -234.89 42.31 -63.33 45.74
1.14 -307.79 523.21 -231.33 45.27 -61.02 47.16
1.21 -304.42 518.62 -227.55 47.43 -61.03 52.49
1.29 -300.77 514.01 -223.60 46.66 -59.96 57.55
1.36 -297.09 509.63 -219.48 51.38 -60.00 58.72
1.43 -293.39 505.16 -214.96 52.52 -60.73 61.75
1.50 -289.14 500.60 -210.46 56.86 -61.41 62.52
1.57 -284.90 496.02 -205.81 57.66 -61.95 63.32
1.64 -280.41 491.62 -201.52 62.53 -64.19 65.52
1.71 -275.65 486.96 -196.94 69.50 -67.93 66.79
1.79 -270.36 482.02 -192.13 73.45 -69.52 69.03
1.86 -264.96 477.08 -187.30 76.29 -72.71 71.04
1.93 -259.38 472.04 -182.27 78.06 -72.72 73.54
2.00 -253.76 466.79 -177.25 78.58 -74.58 73.85
2.07 -248.07 461.37 -172.09 80.96 -79.13 74.81
2.14 -242.25 455.78 -166.86 83.10 -82.00 77.00
2.21 -236.32 450.12 -161.74 85.76 -82.55 74.10
2.29 -230.21 444.36 -156.56 90.05 -83.89 71.44
2.36 -223.83 438.26 -151.29 93.43 -88.43 71.75
2.43 -217.31 431.85 -146.18 91.39 -92.95 71.81
2.50 -211.03 425.27 -140.93 93.02 -95.75 73.29
2.57 -204.63 418.51 -135.62 94.80 -97.21 73.40
2.64 -198.07 411.63 -130.41 94.15 -97.78 73.02
2.71 -191.33 404.48 -124.94 94.90 -99.78 72.77
2.79 -184.65 397.22 -119.34 95.25 -102.23 76.23
2.86 -178.04 389.90 -113.72 97.52 -103.93 76.10
2.93 -171.34 382.40 -108.09 97.34 -105.02 74.87
3.00 -164.45 374.61 -102.44 98.20 -110.34 77.04
3.07 -157.39 366.48 -96.57 99.59 -111.82 80.09
3.14 -150.06 358.06 -90.48 102.82 -117.53 80.34
3.21 -142.83 349.47 -84.46 105.03 -120.33 79.55
3.29 -135.30 340.47 -78.32 109.00 -128.71 84.07
3.36 -127.48 330.72 -71.75 111.85 -134.27 86.63
3.43 -119.36 320.70 -65.43 114.68 -143.74 85.48
3.50 -110.87 309.77 -59.11 119.37 -157.54 86.21
3.57 -102.29 297.85 -52.70 116.02 -168.73 89.56
3.64 -93.74 285.33 -46.58 121.64 -181.70 85.83
3.71 -84.69 271.57 -40.66 122.85 -199.32 81.52
3.79 -75.64 256.30 -35.11 123.70 -227.41 71.07
3.86 -66.67 238.99 -30.62 121.20 -259.14 52.98
3.93 -58.34 218.95 -28.31 95.60 -299.89 13.87
4.00 -53.55 197.84 -29.91 43.90 -286.00 -53.10
4.07 -51.57 179.76 -35.12 18.40 -232.66 -68.80
4.14 -50.68 165.26 -39.85 20.56 -186.25 -59.12
4.21 -49.51 153.33 -43.58 26.34 -159.68 -41.62
4.29 -48.04 142.87 -45.96 27.40 -135.99 -25.73
4.36 -46.76 133.88 -47.11 25.84 -115.18 -14.72
4.43 -45.57 126.31 -47.87 22.31 -99.81 -4.56
4.50 -44.41 119.83 -48.10 23.31 -83.01 0.32
4.57 -43.28 114.39 -48.09 19.36 -67.52 4.61
