#t x y z vx vy vz
0.00 -1.99 3.08 -1.46 0.30 4.26 -0.44
0.07 -1.78 3.10 -1.48 -1.14 7.92 -0.36
0.14 -1.90 3.28 -1.57 -3.13 9.15 -0.94
0.21 -2.27 3.49 -1.60 -2.65 8.05 0.07
0.29 -2.48 3.67 -1.57 -4.58 8.20 -0.19
0.36 -2.90 4.08 -1.53 -6.73 7.96 0.59
0.43 -3.26 4.72 -1.63 -9.03 12.64 -2.31
0.50 -3.59 5.49 -1.82 -4.79 10.83 -2.80
0.57 -3.81 6.12 -2.00 -3.16 7.06 -1.93
0.64 -3.92 6.60 -2.16 -5.16 4.27 -1.81
0.71 -4.04 7.03 -2.22 -7.73 5.82 -0.89
0.79 -4.46 7.52 -2.56 -8.53 9.33 -6.52
0.86 -5.16 8.25 -3.19 -10.21 6.92 -9.65
0.93 -5.97 9.12 -3.73 -11.75 11.02 -9.23
1.00 -6.78 10.16 -4.30 -6.29 10.87 -7.73
1.07 -7.06 11.03 -4.85 -4.13 10.98 -8.51
1.14 -7.29 12.29 -5.68 -4.39 16.23 -10.65
1.21 -7.73 13.33 -6.44 -7.61 14.39 -11.16
1.29 -8.14 14.39 -7.19 -9.46 14.74 -10.92
1.36 -8.98 15.43 -7.98 -12.30 17.14 -11.25
1.43 -10.10 16.75 -8.91 -12.11 14.60 -13.51
1.50 -10.92 18.13 -9.89 -13.59 22.38 -14.82
1.57 -11.63 19.82 -10.95 -10.90 24.26 -15.71
1.64 -12.24 21.50 -11.82 -13.88 25.59 -12.70
1.71 -13.17 23.33 -12.76 -11.99 26.98 -14.23
1.79 -14.10 25.01 -13.77 -14.80 24.88 -15.65
1.86 -15.24 26.82 -14.86 -19.08 27.23 -15.18
1.93 -16.64 29.20 -15.81 -24.52 29.78 -15.04
2.00 -18.27 31.71 -16.93 -22.47 35.01 -15.28
2.07 -19.82 34.35 -18.06 -21.94 39.71 -16.55
2.14 -21.34 37.18 -19.22 -17.55 40.53 -15.54
2.21 -22.59 40.06 -20.46 -18.84 38.90 -19.07
2.29 -24.15 42.95 -21.86 -23.28 38.51 -19.20
2.36 -25.95 45.93 -23.15 -24.68 44.04 -19.26
2.43 -27.65 49.07 -24.49 -24.01 44.06 -19.48
2.50 -29.43 52.22 -25.90 -24.54 49.91 -20.18
2.57 -31.22 55.89 -27.41 -25.13 54.78 -21.95
2.64 -33.14 59.73 -28.77 -26.15 54.50 -19.38
2.71 -34.99 63.73 -30.29 -26.40 55.58 -22.12
2.79 -36.91 67.80 -31.91 -28.10 58.17 -24.09
2.86 -38.84 71.95 -33.61 -32.01 62.91 -23.87
2.93 -40.98 76.35 -35.38 -32.07 65.68 -27.91
3.00 -43.08 81.39 -37.46 -31.95 72.53 -28.35
3.07 -45.11 86.88 -39.46 -34.27 79.36 -28.06
3.14 -47.33 92.92 -41.53 -34.69 81.11 -30.33
3.21 -49.67 99.18 -43.71 -36.65 83.22 -30.24
3.29 -52.33 105.56 -45.73 -39.81 89.18 -30.47
3.36 -55.30 112.43 -47.94 -43.09 96.89 -31.59
3.43 -58.50 120.03 -50.16 -42.64 110.44 -30.47
3.50 -61.61 128.41 -52.30 -39.98 120.37 -30.21
3.57 -64.79 137.51 -54.38 -42.04 132.83 -28.11
3.64 -67.97 147.58 -56.33 -43.10 149.49 -27.66
3.71 -71.01 159.07 -58.06 -42.73 171.44 -21.08
3.79 -74.03 171.93 -59.22 -43.31 191.81 -10.84
3.86 -77.11 186.68 -59.36 -36.47 227.77 10.36
3.93 -78.79 204.30 -57.23 -5.64 264.89 57.14
4.00 -76.82 223.05 -50.40 57.24 245.62 129.52
4.07 -71.10 238.37 -40.16 91.48 182.57 148.37
4.14 -64.54 249.32 -30.14 84.75 125.32 128.88
4.21 -58.73 257.02 -21.86 74.75 89.23 103.57
4.29 -53.73 262.48 -15.12 67.37 65.35 86.12
4.36 -49.22 266.33 -9.66 62.96 45.05 70.86
4.43 -44.59 269.15 -4.98 62.45 26.23 62.96
4.50 -40.66 270.31 -0.92 59.18 8.96 52.79
4.57 -36.72 270.42 2.71 53.88 -5.64 49.89
4.64 -32.92 269.49 6.00 52.17 -16.88 43.28
4.71 -29.20 267.79 8.88 52.12 -28.23 37.62
4.79 -25.44 265.41 11.69 50.90 -40.03 32.72
4.86 -21.90 262.14 14.02 49.76 -51.18 29.93
4.93 -18.55 258.21 16.11 44.89 -60.43 25.91
5.00 -15.50 253.55 17.82 42.90 -70.79 21.38
5.07 -12.66 248.13 19.10 37.02 -80.04 14.59
5.14 -9.88 242.10 19.82 36.84 -88.43 5.15
5.21 -7.44 235.56 19.88 30.00 -92.72 -6.13
5.29 -5.11 228.88 18.85 32.26 -89.50 -19.83
5.36 -2.70 222.36 17.32 36.92 -89.57 -23.52
5.43 -0.15 215.50 15.78 37.28 -99.07 -21.05
5.50 2.64 208.35 14.39 36.28 -113.53 -18.12
5.57 4.74 199.33 13.03 32.48 -129.95 -15.73
5.64 6.73 189.16 11.67 24.39 -151.53 -20.30
5.71 7.99 177.43 9.80 10.95 -174.90 -32.39
5.79 8.28 163.98 7.29 -10.89 -223.46 -49.05
5.86 4.23 144.62 1.54 -171.67 -232.83 -87.63
5.93 -4.45 135.18 -0.80 -81.23 -73.03 -13.98
6.00 -8.14 132.71 -1.30 24.63 -33.09 22.91
6.07 -4.52 131.51 1.14 79.02 0.01 48.37
6.14 0.16 133.58 5.16 125.47 42.32 72.76
6.21 13.90 139.19 11.82 184.89 133.84 119.41
6.29 21.76 144.43 19.25 37.40 -44.58 31.78
6.36 22.98 139.98 18.64 41.61 -50.44 22.52
6.43 25.42 138.15 20.12 41.84 -26.81 18.31
6.50 28.58 136.72 22.14 42.43 -20.32 21.69
6.57 31.89 135.11 24.65 41.60 -31.21 21.56
6.64 34.84 133.26 26.91 39.75 -23.32 34.13
6.71 37.73 131.52 29.97 37.90 -26.04 34.00
6.79 40.34 129.52 32.51 43.38 -27.64 40.59
6.86 43.14 127.21 34.63 41.37 -30.93 28.62
6.93 45.86 124.72 36.50 42.87 -31.44 24.31
