#t x y z vx vy vz
0.00 -99.09 -119.63 -127.91 -26.86 174.69 90.66
0.01 -99.36 -117.84 -126.98 -26.13 175.56 91.60
0.02 -99.62 -116.04 -126.04 -25.39 176.44 92.55
0.03 -99.88 -114.23 -125.08 -24.62 177.32 93.51
0.04 -100.13 -112.41 -124.12 -23.84 178.20 94.49
0.05 -100.37 -110.59 -123.15 -23.05 179.09 95.47
0.06 -100.60 -108.75 -122.17 -22.23 179.98 96.48
0.07 -100.82 -106.90 -121.18 -21.39 180.88 97.49
0.08 -101.04 -105.05 -120.18 -20.54 181.77 98.52
0.09 -101.24 -103.19 -119.16 -19.66 182.68 99.56
0.10 -101.44 -101.31 -118.14 -18.76 183.58 100.61
0.11 -101.63 -99.43 -117.11 -17.84 184.49 101.68
0.12 -101.80 -97.54 -116.06 -16.90 185.40 102.77
0.13 -101.97 -95.64 -115.00 -15.94 186.32 103.86
0.14 -102.13 -93.73 -113.94 -14.95 187.24 104.98
0.15 -102.28 -91.81 -112.86 -13.93 188.16 106.11
0.16 -102.41 -89.88 -111.77 -12.90 189.08 107.25
0.17 -102.54 -87.94 -110.66 -11.83 190.00 108.41
0.18 -102.66 -85.99 -109.55 -10.74 190.93 109.59
0.19 -102.76 -84.04 -108.42 -9.62 191.85 110.78
0.20 -102.85 -82.07 -107.28 -8.47 192.78 111.99
0.21 -102.93 -80.09 -106.13 -7.29 193.71 113.22
0.22 -103.00 -78.11 -104.97 -6.08 194.64 114.46
0.23 -103.06 -76.11 -103.79 -4.84 195.57 115.72
0.24 -103.10 -74.11 -102.60 -3.57 196.49 117.00
0.25 -103.13 -72.09 -101.40 -2.27 197.42 118.30
0.26 -103.15 -70.07 -100.18 -0.92 198.34 119.62
0.27 -103.15 -68.04 -98.95 0.45 199.27 120.95
0.28 -103.14 -65.99 -97.70 1.87 200.18 122.31
0.29 -103.11 -63.94 -96.45 3.32 201.10 123.68
0.30 -103.07 -61.88 -95.17 4.81 202.01 125.07
0.31 -103.01 -59.81 -93.89 6.35 202.92 126.49
0.32 -102.94 -57.73 -92.59 7.92 203.82 127.92
0.33 -102.85 -55.64 -91.27 9.54 204.71 129.38
0.34 -102.74 -53.54 -89.94 11.21 205.59 130.85
0.35 -102.62 -51.43 -88.60 12.92 206.47 132.35
0.36 -102.48 -49.32 -87.23 14.68 207.33 133.86
0.37 -102.32 -47.19 -85.86 16.49 208.18 135.40
0.38 -102.14 -45.06 -84.46 18.35 209.02 136.96
0.39 -101.94 -42.92 -83.06 20.26 209.85 138.54
0.40 -101.73 -40.77 -81.63 22.23 210.66 140.14
0.41 -101.49 -38.61 -80.19 24.26 211.45 141.77
0.42 -101.23 -36.44 -78.73 26.34 212.22 143.41
0.43 -100.95 -34.27 -77.26 28.48 212.97 145.07
0.44 -100.65 -32.09 -75.76 30.69 213.70 146.76
0.45 -100.32 -29.90 -74.25 32.96 214.40 148.47
0.46 -99.97 -27.70 -72.73 35.30 215.07 150.19
0.47 -99.60 -25.50 -71.18 37.70 215.71 151.94
0.48 -99.20 -23.29 -69.62 40.18 216.32 153.71
0.49 -98.78 -21.08 -68.04 42.73 216.89 155.49
0.50 -98.33 -18.85 -66.44 45.35 217.42 157.29
0.51 -97.85 -16.63 -64.82 48.04 217.91 159.11
0.52 -97.34 -14.40 -63.18 50.82 218.35 160.95
0.53 -96.81 -12.16 -61.53 53.67 218.74 162.79
0.54 -96.25 -9.92 -59.85 56.61 219.07 164.66
0.55 -95.65 -7.68 -58.16 59.62 219.35 166.53
0.56 -95.03 -5.44 -56.45 62.72 219.56 168.41
0.57 -94.37 -3.19 -54.72 65.91 219.71 170.30
0.58 -93.68 -0.94 -52.96 69.19 219.78 172.19
0.59 -92.95 1.30 -51.19 72.55 219.77 174.09
0.60 -92.19 3.55 -49.40 76.00 219.68 175.99
0.61 -91.40 5.80 -47.59 79.54 219.50 177.88
0.62 -90.57 8.04 -45.76 83.17 219.23 179.76
0.63 -89.70 10.28 -43.92 86.88 218.85 181.63
0.64 -88.79 12.52 -42.05 90.69 218.36 183.49
0.65 -87.84 14.75 -40.16 94.58 217.76 185.33
0.66 -86.85 16.97 -38.26 98.55 217.04 187.14
0.67 -85.82 19.19 -36.34 102.60 216.19 188.92
0.68 -84.75 21.39 -34.39 106.74 215.21 190.66
0.69 -83.64 23.59 -32.44 110.94 214.09 192.36
0.70 -82.48 25.77 -30.46 115.22 212.82 194.01
0.71 -81.28 27.94 -28.47 119.56 211.39 195.61
